Season,HomeTeam,AwayTeam,Home_Overall,Home_Att,Home_Mid,Home_Def,Home_Pace,Away_Overall,Away_Att,Away_Mid,Away_Def,Away_Pace,FTHG,FTAG
2019-2020,Sheffield United,Norwich City,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,68.0909090909091,49.72727272727273,60.63636363636363,51.60606060606061,65.03030303030303,1,0
2019-2020,Arsenal,West Ham United,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,72.0909090909091,48.36363636363637,63.72727272727273,53.0,65.54545454545455,1,0
2019-2020,Crystal Palace,Watford,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,1,0
2019-2020,Southampton,Newcastle United,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,0,1
2019-2020,Burnley,Tottenham Hotspur,70.53125,47.09375,60.4375,51.90625,62.28125,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,1,1
2019-2020,Chelsea,Everton,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,4,0
2019-2020,Manchester United,Manchester City,76.03030303030303,54.96969696969697,70.87878787878788,59.121212121212125,72.42424242424242,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,2,0
2019-2020,Leicester City,Aston Villa,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,4,0
2019-2020,Aston Villa,Sheffield United,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,0,0
2019-2020,Manchester City,Arsenal,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,3,0
2019-2020,Norwich City,Southampton,68.0909090909091,49.72727272727273,60.63636363636363,51.60606060606061,65.03030303030303,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,0,3
2019-2020,Tottenham Hotspur,Manchester United,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,76.03030303030303,54.96969696969697,70.87878787878788,59.121212121212125,72.42424242424242,1,1
2019-2020,Watford,Leicester City,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,1,1
